Date,Gross Domestic Product Current Quarter(100 million yuan)
2020-10-01,
2020-07-01,-10.575477608325311
2020-04-01,-6.055477525167796
2020-01-01,-17.355868405465415
2019-10-01,34.862369229330056
2019-07-01,-9.303427047883295
2019-04-01,-3.801569670614535
2019-01-01,-10.076206218897854
2018-10-01,19.174345427025962
2018-07-01,-9.402536002432683
2018-04-01,-4.483263197715049
2018-01-01,-9.790268179183803
2017-10-01,16.52826703399448
2017-07-01,-9.616244748410042
2017-04-01,-5.093771162365779
2017-01-01,-9.94432788661368
2016-10-01,16.329727598688493
2016-07-01,-9.715918705350857
2016-04-01,-5.027155561000274
2016-01-01,-10.47262472148448
2015-10-01,18.57207068530262
2015-07-01,-8.29566361622014
2015-04-01,-4.557250745621266
2015-01-01,-10.330365464904423
2014-10-01,19.644973233054053
2014-07-01,-8.485479920521543
2014-04-01,-5.435608246562973
2014-01-01,-10.051658384966167
2013-10-01,19.190493308458812
2013-07-01,-9.268276109941853
2013-04-01,-5.717938257566058
2013-01-01,-9.802973410433625
2012-10-01,17.27498578597384
2012-07-01,-9.039074644955603
2012-04-01,-4.901889787500291
2012-01-01,-10.632756779972063
2011-10-01,17.59962712257237
2011-07-01,-8.296301556167906
2011-04-01,-6.057337814924201
2011-01-01,-12.133303166888009
2010-10-01,14.202081173620362
2010-07-01,-11.183855404721276
2010-04-01,-6.2439307045714765
2010-01-01,-11.923915472372693
