Date,Value of Industrial Export Delivery Current Period(100 million yuan)
2010-01-01,
2010-04-01,90.97084096704324
2010-07-01,4.001585669186936
2010-10-01,5.373665345828127
2011-01-01,-43.45521967218868
2011-04-01,82.27905776074999
2011-07-01,3.2963444202047887
2011-10-01,1.8259508654583811
2012-01-01,-39.32339653307032
2012-04-01,64.24553468576073
2012-07-01,0.5130982162269815
2012-10-01,5.489301426072535
2013-01-01,-43.23463664395282
2013-04-01,73.35835587201707
2013-07-01,1.653187861292138
2013-10-01,7.6909156083928565
2014-01-01,-68.70003037765238
2014-04-01,210.57054948685652
2014-07-01,3.3480718085106442
2014-10-01,6.711143850664758
2015-01-01,-70.77899763063178
2015-04-01,200.91709994222987
2015-07-01,3.4672965440165626
2015-10-01,7.048119518506613
2016-01-01,-70.48838843269377
2016-04-01,208.38306396635446
2016-07-01,4.457307658298015
2016-10-01,8.071563456404252
2017-01-01,-67.65201201454519
2017-04-01,203.75233997373647
2017-07-01,2.474950022689071
2017-10-01,5.194183471964564
2018-01-01,-71.51060924967291
2018-04-01,200.94146541137943
2018-07-01,9.980692162743177
2018-10-01,5.788541764072441
2019-01-01,-70.65356551195157
2019-04-01,195.65390594636608
2019-07-01,6.904008386819038
2019-10-01,4.073840667701623
2020-01-01,-69.55489193524089
2020-04-01,192.09573982982602
2020-07-01,7.042973965841393
2020-10-01,12.412263009277936
