Date,China,US,UK
2020-01-01,1.6459564408351168,-2.8852932977776025,1.4529914529914478
2019-01-01,-1.1782410162582524,3.413062444833348,2.2727272727272707
2018-01-01,-3.171744298552437,6.663931094045839,1.3286093888396744
2017-01-01,8.835512012228097,8.67382634959668,4.5370370370370505
2016-01-01,1.4725804048634217,1.7688574200646512,8.000000000000007
2015-01-01,-2.569744650130401,-0.0349568514526277,-2.9126213592233
2014-01-01,-0.2145811590644086,3.5231076446633702,-8.117752007136481
2013-01-01,4.734005247671003,4.037574383788267,2.37442922374429
2012-01-01,6.00289262926923,1.804763356119654,10.160965794768597
2011-01-01,12.14645329148476,6.569786448721326,-1.87561697926949
2010-01-01,,,-6.978879706152441
