Date,Internet Retail Sales
2010 JAN,347.2
2010 FEB,345.5
2010 MAR,347.6
2010 APR,354.5
2010 MAY,359.4
2010 JUN,354
2010 JUL,374.8
2010 AUG,383.7
2010 SEP,396.1
2010 OCT,450
2010 NOV,562.5
2010 DEC,612.4
2011 JAN,451.4
2011 FEB,411.1
2011 MAR,420.3
2011 APR,414
2011 MAY,420.1
2011 JUN,431.5
2011 JUL,442.3
2011 AUG,433.5
2011 SEP,464
2011 OCT,506.4
2011 NOV,657.5
2011 DEC,718.6
2012 JAN,502.6
2012 FEB,491
2012 MAR,499.1
2012 APR,505.1
2012 MAY,527.5
2012 JUN,496
2012 JUL,530.1
2012 AUG,473.3
2012 SEP,516.3
2012 OCT,562.5
2012 NOV,703.9
2012 DEC,846.2
2013 JAN,566.9
2013 FEB,554.2
2013 MAR,592.8
2013 APR,575.2
2013 MAY,584
2013 JUN,585.8
2013 JUL,584
2013 AUG,576.2
2013 SEP,606.2
2013 OCT,662.6
2013 NOV,827
2013 DEC,960.4
2014 JAN,629.4
2014 FEB,620.2
2014 MAR,646.7
2014 APR,661.5
2014 MAY,680.8
2014 JUN,673.4
2014 JUL,670.6
2014 AUG,655
2014 SEP,667.5
2014 OCT,742.2
2014 NOV,989.9
2014 DEC,1067.4
2015 JAN,750.9
2015 FEB,691
2015 MAR,727.7
2015 APR,756.3
2015 MAY,744.6
2015 JUN,766.8
2015 JUL,758.9
2015 AUG,711.9
2015 SEP,763.7
2015 OCT,828.4
2015 NOV,1137.7
2015 DEC,1157.2
2016 JAN,854.4
2016 FEB,776.5
2016 MAR,811.7
2016 APR,854
2016 MAY,890.5
2016 JUN,898.5
2016 JUL,894.2
2016 AUG,879.6
2016 SEP,960.5
2016 OCT,1076.8
2016 NOV,1460.5
2016 DEC,1505.6
2017 JAN,992.4
2017 FEB,949
2017 MAR,1009.1
2017 APR,1042.7
2017 MAY,1043.1
2017 JUN,1078.9
2017 JUL,1074.4
2017 AUG,1046.7
2017 SEP,1090.7
2017 OCT,1179.7
2017 NOV,1608.4
2017 DEC,1641.6
2018 JAN,1126.9
2018 FEB,1093.9
2018 MAR,1175.7
2018 APR,1178.2
2018 MAY,1264.2
2018 JUN,1248.2
2018 JUL,1246.2
2018 AUG,1192.9
2018 SEP,1219
2018 OCT,1332.9
2018 NOV,1816.9
2018 DEC,1854.6
2019 JAN,1278.7
2019 FEB,1243.2
2019 MAR,1345.2
2019 APR,1348.1
2019 MAY,1378.3
2019 JUN,1353.8
2019 JUL,1423.8
2019 AUG,1331
2019 SEP,1321.8
2019 OCT,1450.4
2019 NOV,1809.4
2019 DEC,2077.4
2020 JAN,1388.6
2020 FEB,1324.1
2020 MAR,1528.3
2020 APR,1809.4
2020 MAY,2199.1
2020 JUN,2358
2020 JUL,2215.1
2020 AUG,2065
2020 SEP,2058
2020 OCT,2393.7
2020 NOV,3349.2
2020 DEC,3025.4
