DATE,A639RX1Q020SBEA
2010-01-01,341.335
2010-04-01,354.769
2010-07-01,356.767
2010-10-01,369.504
2011-01-01,373.362
2011-04-01,374.956
2011-07-01,377.937
2011-10-01,389.567
2012-01-01,382.209
2012-04-01,388.96
2012-07-01,385.16
2012-10-01,386.85
2013-01-01,388.228
2013-04-01,393.042
2013-07-01,402.826
2013-10-01,421.39
2014-01-01,396.634
2014-04-01,418.524
2014-07-01,425.845
2014-10-01,421.046
2015-01-01,420.542
2015-04-01,420.576
2015-07-01,413.711
2015-10-01,406.639
2016-01-01,424.021
2016-04-01,422.799
2016-07-01,423.948
2016-10-01,420.089
2017-01-01,456.187
2017-04-01,452.342
2017-07-01,446.555
2017-10-01,482.435
2018-01-01,479.7
2018-04-01,493.654
2018-07-01,486.64
2018-10-01,499.976
2019-01-01,503.303
2019-04-01,495.699
2019-07-01,503.471
2019-10-01,524.392
2020-01-01,535.656
2020-04-01,441.784
2020-07-01,473.317
2020-10-01,517.627
