DATE,Advance Retail Sales: Retail Trade
2010-01-01,
2010-04-01,1.7431735710180307
2010-07-01,0.4072478309626426
2010-10-01,2.984238016862051
2011-01-01,2.390984831342724
2011-04-01,1.5730269968941668
2011-07-01,0.8343117442633163
2011-10-01,1.6919450856518026
2012-01-01,2.111283467283709
2012-04-01,-0.36541544947317206
2012-07-01,0.8334672028964762
2012-10-01,1.4290891711022047
2013-01-01,1.7847301319028563
2013-04-01,-0.06669013004123592
2013-07-01,0.9348267202229366
2013-10-01,0.5195383829446065
2014-01-01,0.8991304193034511
2014-04-01,2.4021904815672013
2014-07-01,0.6755313283898889
2014-10-01,0.09300884910319329
2015-01-01,-0.7667168464848051
2015-04-01,1.6725188314507644
2015-07-01,0.9499770809132668
2015-10-01,-0.369213673075941
2016-01-01,0.14658161563267935
2016-04-01,1.1434296327700766
2016-07-01,0.9345592301966521
2016-10-01,0.9890229412452989
2017-01-01,1.6735951045385056
2017-04-01,0.06411815073301685
2017-07-01,1.0043017444359537
2017-10-01,2.51965327970185
2018-01-01,0.5031780686543419
2018-04-01,1.1137482757823447
2018-07-01,0.46610773368451763
2018-10-01,0.46045579813982496
2019-01-01,-0.0783793151097667
2019-04-01,1.5409309063539212
2019-07-01,1.2264062479068638
2019-10-01,0.536995252767869
2020-01-01,-1.7990222784495358
2020-04-01,-3.4631206138521886
2020-07-01,12.32629233105953
2020-10-01,1.2757596734406906
